id,x,y,z,soil_type,description
1,205.37,50.81,0,1,黏土
2,205.37,50.81,-11.59,2,砂质土
3,205.37,50.81,-19.22,3,粉质土
4,205.37,50.81,-36.89,4,砂砾石
5,205.37,50.81,-50,5,基岩
6,119.49,153.09,0,1,黏土
7,119.49,153.09,-11.55,2,砂质土
8,119.49,153.09,-21.22,3,粉质土
9,119.49,153.09,-35.89,4,砂砾石
10,119.49,153.09,-50,5,基岩
11,248.45,17.73,0,1,黏土
12,248.45,17.73,-9.15,2,砂质土
13,248.45,17.73,-18.12,3,粉质土
14,248.45,17.73,-36.31,4,砂砾石
15,248.45,17.73,-50,5,基岩
16,178.99,94.53,0,1,黏土
17,178.99,94.53,-10.37,2,砂质土
18,178.99,94.53,-21.0,3,粉质土
19,178.99,94.53,-34.79,4,砂砾石
20,178.99,94.53,-50,5,基岩
21,63.01,203.74,0,1,黏土
22,63.01,203.74,-9.61,2,砂质土
23,63.01,203.74,-18.64,3,粉质土
24,63.01,203.74,-34.69,4,砂砾石
25,63.01,203.74,-50,5,基岩
26,112.52,275.35,0,1,黏土
27,112.52,275.35,-10.35,2,砂质土
28,112.52,275.35,-20.96,3,粉质土
29,112.52,275.35,-36.16,4,砂砾石
30,112.52,275.35,-50,5,基岩
31,59.17,59.58,0,1,黏土
32,59.17,59.58,-9.26,2,砂质土
33,59.17,59.58,-18.21,3,粉质土
34,59.17,59.58,-36.42,4,砂砾石
35,59.17,59.58,-50,5,基岩
36,120.04,249.72,0,1,黏土
37,120.04,249.72,-10.08,2,砂质土
38,120.04,249.72,-19.23,3,粉质土
39,120.04,249.72,-33.99,4,砂砾石
40,120.04,249.72,-50,5,基岩
41,29.03,198.87,0,1,黏土
42,29.03,198.87,-10.49,2,砂质土
43,29.03,198.87,-19.36,3,粉质土
44,29.03,198.87,-36.52,4,砂砾石
45,29.03,198.87,-50,5,基岩
46,25.9,150.62,0,1,黏土
47,25.9,150.62,-11.35,2,砂质土
48,25.9,150.62,-19.17,3,粉质土
49,25.9,150.62,-34.88,4,砂砾石
50,25.9,150.62,-50,5,基岩
51,156.6,155.61,0,1,黏土
52,156.6,155.61,-10.88,2,砂质土
53,156.6,155.61,-21.74,3,粉质土
