x,y,z,formation
244.25,495.53,30.31,fill
244.25,495.53,27.56,silty_clay
244.25,495.53,16.5,silt
244.25,495.53,6.26,fine_sand
244.25,495.53,-9.48,weathered_rock
269.97,357.74,27.7,fill
269.97,357.74,24.18,silty_clay
269.97,357.74,16.29,silt
269.97,357.74,5.91,fine_sand
269.97,357.74,-5.27,weathered_rock
124.71,466.95,30.34,fill
124.71,466.95,26.75,silty_clay
124.71,466.95,21.78,silt
124.71,466.95,6.58,fine_sand
124.71,466.95,-14.28,weathered_rock
159.22,415.39,28.84,fill
159.22,415.39,26.47,silty_clay
159.22,415.39,15.7,silt
159.22,415.39,1.75,fine_sand
159.22,415.39,-11.53,weathered_rock
424.23,260.69,32.3,fill
424.23,260.69,31.7,silty_clay
424.23,260.69,21.11,silt
424.23,260.69,17.47,fine_sand
424.23,260.69,-1.23,weathered_rock
211.83,431.54,29.8,fill
211.83,431.54,26.83,silty_clay
211.83,431.54,19.33,silt
211.83,431.54,1.86,fine_sand
211.83,431.54,-8.46,weathered_rock
369.37,344.38,27.35,fill
369.37,344.38,25.4,silty_clay
369.37,344.38,15.46,silt
369.37,344.38,8.23,fine_sand
369.37,344.38,-9.71,weathered_rock
287.94,180.85,30.41,fill
287.94,180.85,26.31,silty_clay
287.94,180.85,15.68,silt
287.94,180.85,7.99,fine_sand
287.94,180.85,-1.97,weathered_rock
29,19.15,31.95,fill
29,19.15,29.98,silty_clay
29,19.15,21.21,silt
29,19.15,8.88,fine_sand
29,19.15,-0.03,weathered_rock
198.72,308.88,28.27,fill
198.72,308.88,25.68,silty_clay
198.72,308.88,18.77,silt
198.72,308.88,7.39,fine_sand
198.72,308.88,-11.45,weathered_rock
272.71,379.23,28.24,fill
272.71,379.23,25.32,silty_clay
272.71,379.23,16.52,silt
272.71,379.23,6.2,fine_sand
272.71,379.23,-2.2,weathered_rock
219.92,198.3,31.02,fill
219.92,198.3,27.5,silty_clay
219.92,198.3,20.45,silt
219.92,198.3,11.51,fine_sand
219.92,198.3,-3.8,weathered_rock
395.23,193.53,30.63,fill
395.23,193.53,27.91,silty_clay
395.23,193.53,16.54,silt
395.23,193.53,11.2,fine_sand
395.23,193.53,-7.4,weathered_rock
228.47,438.33,29.56,fill
228.47,438.33,27.12,silty_clay
228.47,438.33,18.18,silt
228.47,438.33,9.85,fine_sand
228.47,438.33,-7.99,weathered_rock
188.76,33.16,33.15,fill
188.76,33.16,31.9,silty_clay
188.76,33.16,25.07,silt
188.76,33.16,12.01,fine_sand
188.76,33.16,4.69,weathered_rock
428.84,170.83,31.28,fill
428.84,170.83,27.42,silty_clay
428.84,170.83,16.96,silt
428.84,170.83,9.26,fine_sand
428.84,170.83,-5.76,weathered_rock
275.46,156.46,31.06,fill
275.46,156.46,27.87,silty_clay
275.46,156.46,21.5,silt
275.46,156.46,7.44,fine_sand
275.46,156.46,-7.15,weathered_rock
22,425.22,30.73,fill
22,425.22,29.35,silty_clay
22,425.22,17.41,silt
22,425.22,8.96,fine_sand
22,425.22,-1.02,weathered_rock
313.43,121.1,31.94,fill
313.43,121.1,30.46,silty_clay
313.43,121.1,19.32,silt
313.43,121.1,10.66,fine_sand
313.43,121.1,-7.22,weathered_rock
120.94,228.93,31.72,fill
120.94,228.93,29.02,silty_clay
120.94,228.93,17.75,silt
120.94,228.93,3.75,fine_sand
120.94,228.93,-6.29,weathered_rock
406.88,484.8,29.15,fill
406.88,484.8,25.56,silty_clay
406.88,484.8,17.84,silt
406.88,484.8,1.48,fine_sand
406.88,484.8,-11.16,weathered_rock
24,196.49,30.45,fill
24,196.49,26.47,silty_clay
24,196.49,15.6,silt
24,196.49,8.44,fine_sand
24,196.49,-12.39,weathered_rock
488.33,188.13,31.54,fill
488.33,188.13,29.13,silty_clay
488.33,188.13,21.99,silt
488.33,188.13,7.57,fine_sand
488.33,188.13,-3.82,weathered_rock
476,462.62,28.61,fill
476,462.62,25.86,silty_clay
476,462.62,17.15,silt
476,462.62,12.87,fine_sand
476,462.62,-2.39,weathered_rock
211.53,236.85,30.2,fill
211.53,236.85,25.32,silty_clay
211.53,236.85,15.77,silt
211.53,236.85,8.81,fine_sand
211.53,236.85,-3.18,weathered_rock
227.3,371.42,28.69,fill
227.3,371.42,24.47,silty_clay
227.3,371.42,16.58,silt
227.3,371.42,4.42,fine_sand
227.3,371.42,-3.58,weathered_rock
468.97,419.88,28.29,fill
468.97,419.88,23.36,silty_clay
468.97,419.88,18.04,silt
468.97,419.88,8.27,fine_sand
468.97,419.88,-12.18,weathered_rock
298,399.78,28.48,fill
298,399.78,26.1,silty_clay
298,399.78,16.89,silt
298,399.78,4.2,fine_sand
298,399.78,-11.13,weathered_rock
181.82,243.68,30.82,fill
181.82,243.68,26.83,silty_clay
181.82,243.68,19.35,silt
181.82,243.68,4.24,fine_sand
181.82,243.68,-14.28,weathered_rock
352.92,19.46,34.02,fill
352.92,19.46,31.72,silty_clay
352.92,19.46,19.85,silt
352.92,19.46,10.6,fine_sand
352.92,19.46,0.3,weathered_rock
186.34,346.54,28.79,fill
186.34,346.54,26.33,silty_clay
186.34,346.54,19.5,silt
186.34,346.54,10.05,fine_sand
186.34,346.54,-8.0,weathered_rock
36,446.81,29.98,fill
36,446.81,25.96,silty_clay
36,446.81,22.04,silt
36,446.81,4.72,fine_sand
36,446.81,-7.23,weathered_rock
11.23,267.36,28.61,fill
11.23,267.36,25.59,silty_clay
11.23,267.36,18.52,silt
11.23,267.36,3.67,fine_sand
11.23,267.36,-11.29,weathered_rock
494.44,334.27,29.17,fill
494.44,334.27,27.91,silty_clay
494.44,334.27,15.17,silt
494.44,334.27,3.67,fine_sand
494.44,334.27,-13.4,weathered_rock
353.49,494.13,28.45,fill
353.49,494.13,25.13,silty_clay
353.49,494.13,15.73,silt
353.49,494.13,8.02,fine_sand
353.49,494.13,-2.3,weathered_rock
184.28,290.79,29.21,fill
184.28,290.79,25.97,silty_clay
184.28,290.79,15.54,silt
184.28,290.79,6.17,fine_sand
184.28,290.79,-11.11,weathered_rock
35,316.54,27.79,fill
35,316.54,23.3,silty_clay
35,316.54,17.22,silt
35,316.54,7.83,fine_sand
35,316.54,-4.17,weathered_rock
479.55,119.5,32.7,fill
479.55,119.5,29.35,silty_clay
479.55,119.5,23.01,silt
479.55,119.5,9.4,fine_sand
479.55,119.5,-5.83,weathered_rock
269.38,472.1,28.9,fill
269.38,472.1,26.47,silty_clay
269.38,472.1,21.65,silt
269.38,472.1,10.29,fine_sand
269.38,472.1,-1.15,weathered_rock
435.43,288.7,31.43,fill
435.43,288.7,27.73,silty_clay
435.43,288.7,19.38,silt
435.43,288.7,5.08,fine_sand
435.43,288.7,-3.97,weathered_rock
100.97,138.8,32.88,fill
100.97,138.8,28.1,silty_clay
100.97,138.8,19.53,silt
100.97,138.8,8.22,fine_sand
100.97,138.8,-4.29,weathered_rock
304.31,111.45,32.19,fill
304.31,111.45,28.27,silty_clay
304.31,111.45,18.99,silt
304.31,111.45,11.24,fine_sand
304.31,111.45,1.75,weathered_rock
358.38,451.9,28.18,fill
358.38,451.9,23.75,silty_clay
358.38,451.9,18.9,silt
358.38,451.9,5.77,fine_sand
358.38,451.9,-1.9,weathered_rock
102.34,39,33.02,fill
102.34,39,29.97,silty_clay
102.34,39,18.73,silt
102.34,39,9.4,fine_sand
102.34,39,-8.85,weathered_rock
354.34,228.43,29.58,fill
354.34,228.43,27.24,silty_clay
354.34,228.43,18.57,silt
354.34,228.43,8.74,fine_sand
354.34,228.43,-4.25,weathered_rock
34,374.34,28.69,fill
34,374.34,24.47,silty_clay
34,374.34,16.58,silt
34,374.34,4.42,fine_sand
34,374.34,-3.58,weathered_rock
69.57,105.7,32.33,fill
69.57,105.7,28.58,silty_clay
69.57,105.7,22.37,silt
69.57,105.7,8.2,fine_sand
69.57,105.7,-4.81,weathered_rock
213.22,126.93,31.9,fill
213.22,126.93,28.69,silty_clay
213.22,126.93,22.56,silt
213.22,126.93,7.66,fine_sand
213.22,126.93,-0.95,weathered_rock
499.32,152.02,32.18,fill
499.32,152.02,28.3,silty_clay
499.32,152.02,17.41,silt
499.32,152.02,11.23,fine_sand
499.32,152.02,-1.59,weathered_rock
496.55,444.3,28.27,fill
496.55,444.3,24.28,silty_clay
496.55,444.3,20.06,silt
496.55,444.3,8.66,fine_sand
496.55,444.3,-0.2,weathered_rock
358,41,33.91,fill
358,41,31.29,silty_clay
358,41,21.94,silt
358,41,12.01,fine_sand
358,41,-3.52,weathered_rock
408.48,225.86,30.34,fill
408.48,225.86,28.54,silty_clay
408.48,225.86,21.5,silt
408.48,225.86,8.12,fine_sand
408.48,225.86,-1.23,weathered_rock
244.33,267.8,29.1,fill
244.33,267.8,24.3,silty_clay
244.33,267.8,17.89,silt
244.33,267.8,6.86,fine_sand
244.33,267.8,-11.16,weathered_rock
36,260.65,28.79,fill
36,260.65,24.12,silty_clay
36,260.65,15.75,silt
36,260.65,5.65,fine_sand
36,260.65,-1.97,weathered_rock
14,337.81,28.31,fill
14,337.81,25.96,silty_clay
14,337.81,18.06,silt
14,337.81,11.0,fine_sand
14,337.81,-3.87,weathered_rock
345.21,12,33.72,fill
345.21,12,30.93,silty_clay
345.21,12,23.11,silt
345.21,12,9.36,fine_sand
345.21,12,-1.95,weathered_rock
415.14,206.1,30.82,fill
415.14,206.1,26.83,silty_clay
415.14,206.1,19.35,silt
415.14,206.1,4.24,fine_sand
415.14,206.1,-14.28,weathered_rock
489.45,252.19,30.85,fill
489.45,252.19,26.83,silty_clay
489.45,252.19,19.35,silt
489.45,252.19,4.24,fine_sand
489.45,252.19,-14.28,weathered_rock
349.97,387.2,27.85,fill
349.97,387.2,24.12,silty_clay
349.97,387.2,15.2,silt
349.97,387.2,7.4,fine_sand
349.97,387.2,-1.98,weathered_rock
301.54,41.49,33.82,fill
301.54,41.49,30.81,silty_clay
301.54,41.49,19.64,silt
301.54,41.49,8.51,fine_sand
301.54,41.49,-1.27,weathered_rock
16,403.48,29.35,fill
16,403.48,26.47,silty_clay
16,403.48,21.65,silt
16,403.48,10.29,fine_sand
16,403.48,-1.15,weathered_rock
175.46,128.87,32.06,fill
175.46,128.87,27.91,silty_clay
175.46,128.87,20.4,silt
175.46,128.87,6.86,fine_sand
175.46,128.87,-2.85,weathered_rock
432.38,344.88,28.89,fill
432.38,344.88,24.87,silty_clay
432.38,344.88,18.08,silt
432.38,344.88,3.22,fine_sand
432.38,344.88,-10.87,weathered_rock
49,313.11,27.6,fill
49,313.11,24.85,silty_clay
49,313.11,18.51,silt
49,313.11,5.55,fine_sand
49,313.11,-2.32,weathered_rock
115.84,109.8,32.38,fill
115.84,109.8,28.3,silty_clay
115.84,109.8,20.45,silt
115.84,109.8,6.17,fine_sand
115.84,109.8,-11.16,weathered_rock
403.24,53.25,33.87,fill
403.24,53.25,30.31,silty_clay
403.24,53.25,24.18,silt
403.24,53.25,9.58,fine_sand
403.24,53.25,-2.96,weathered_rock
16,33,32.41,fill
16,33,30.49,silty_clay
16,33,23.47,silt
16,33,6.8,fine_sand
16,33,-7.45,weathered_rock
439.19,39,33.91,fill
439.19,39,31.29,silty_clay
439.19,39,21.94,silt
439.19,39,12.01,fine_sand
439.19,39,-3.52,weathered_rock
46,236.4,29.35,fill
46,236.4,25.9,silty_clay
46,236.4,18.89,silt
46,236.4,9.6,fine_sand
46,236.4,-0.69,weathered_rock
301.27,155.6,31.06,fill
301.27,155.6,27.87,silty_clay
301.27,155.6,21.5,silt
301.27,155.6,7.44,fine_sand
301.27,155.6,-7.15,weathered_rock
423.82,434.39,29.31,fill
423.82,434.39,26.47,silty_clay
423.82,434.39,21.65,silt
423.82,434.39,10.29,fine_sand
423.82,434.39,-1.15,weathered_rock
109.94,159.62,31.69,fill
109.94,159.62,28.83,silty_clay
109.94,159.62,20.08,silt
109.94,159.62,9.75,fine_sand
109.94,159.62,0.95,weathered_rock
249.46,312.3,28.18,fill
249.46,312.3,24.77,silty_clay
249.46,312.3,17.47,silt
249.46,312.3,5.18,fine_sand
249.46,312.3,-3.83,weathered_rock
121,11,32.72,fill
121,11,28.8,silty_clay
121,11,19.33,silt
121,11,10.16,fine_sand
121,11,2.07,weathered_rock
43,212.86,29.98,fill
43,212.86,26.23,silty_clay
43,212.86,20.57,silt
43,212.86,8.71,fine_sand
43,212.86,-3.45,weathered_rock
398.92,118.1,32.7,fill
398.92,118.1,29.35,silty_clay
398.92,118.1,23.01,silt
398.92,118.1,9.4,fine_sand
398.92,118.1,-5.83,weathered_rock
194.2,492.34,30.31,fill
194.2,492.34,27.56,silty_clay
194.2,492.34,16.5,silt
194.2,492.34,6.26,fine_sand
194.2,492.34,-9.48,weathered_rock
437.49,441.53,28.61,fill
437.49,441.53,25.86,silty_clay
437.49,441.53,17.15,silt
437.49,441.53,12.87,fine_sand
437.49,441.53,-2.39,weathered_rock
139.75,164.53,31.42,fill
139.75,164.53,28.69,silty_clay
139.75,164.53,18.78,silt
139.75,164.53,9.59,fine_sand
139.75,164.53,0.06,weathered_rock
417.84,40.19,33.91,fill
417.84,40.19,31.29,silty_clay
417.84,40.19,21.94,silt
417.84,40.19,12.01,fine_sand
417.84,40.19,-3.52,weathered_rock
468.65,219.82,30.82,fill
468.65,219.82,26.83,silty_clay
468.65,219.82,19.35,silt
468.65,219.82,4.24,fine_sand
468.65,219.82,-14.28,weathered_rock
423.95,302.38,30.4,fill
423.95,302.38,26.68,silty_clay
423.95,302.38,19.98,silt
423.95,302.38,9.75,fine_sand
423.95,302.38,-1.77,weathered_rock
45,178.1,30.88,fill
45,178.1,28.27,silty_clay
45,178.1,21.84,silt
45,178.1,9.02,fine_sand
45,178.1,0.07,weathered_rock
35,274.96,28.45,fill
35,274.96,24.87,silty_clay
35,274.96,15.68,silt
35,274.96,5.32,fine_sand
35,274.96,-11.53,weathered_rock
219.74,48.52,33.4,fill
219.74,48.52,30.9,silty_clay
219.74,48.52,24.23,silt
219.74,48.52,9.33,fine_sand
219.74,48.52,-6.67,weathered_rock
41,407.08,29.35,fill
41,407.08,26.47,silty_clay
41,407.08,21.65,silt
41,407.08,10.29,fine_sand
41,407.08,-1.15,weathered_rock
18,485.87,29.15,fill
18,485.87,25.56,silty_clay
18,485.87,17.84,silt
18,485.87,1.48,fine_sand
18,485.87,-11.16,weathered_rock
418.49,129.84,32.25,fill
418.49,129.84,28.1,silty_clay
418.49,129.84,20.4,silt
418.49,129.84,6.86,fine_sand
418.49,129.84,-2.85,weathered_rock
463.32,128.5,32.6,fill
463.32,128.5,28.58,silty_clay
463.32,128.5,20.4,silt
463.32,128.5,6.86,fine_sand
463.32,128.5,-2.85,weathered_rock
301.63,228.66,29.58,fill
301.63,228.66,27.24,silty_clay
301.63,228.66,18.57,silt
301.63,228.66,8.74,fine_sand
301.63,228.66,-4.25,weathered_rock
24,463.4,29.07,fill
24,463.4,26.85,silty_clay
24,463.4,19.36,silt
24,463.4,8.81,fine_sand
24,463.4,-3.3,weathered_rock
43,89.5,32.72,fill
43,89.5,28.8,silty_clay
43,89.5,19.33,silt
43,89.5,10.16,fine_sand
43,89.5,2.07,weathered_rock
482.4,142.5,32.42,fill
482.4,142.5,29.53,silty_clay
482.4,142.5,21.56,silt
482.4,142.5,11.2,fine_sand
482.4,142.5,-7.4,weathered_rock
39,493.7,29.15,fill
39,493.7,25.56,silty_clay
39,493.7,17.84,silt
39,493.7,1.48,fine_sand
39,493.7,-11.16,weathered_rock
30,121,31.94,fill
30,121,30.46,silty_clay
30,121,19.32,silt
30,121,10.66,fine_sand
30,121,-7.22,weathered_rock
47,21.1,32.19,fill
47,21.1,28.27,silty_clay
47,21.1,18.99,silt
47,21.1,11.24,fine_sand
47,21.1,1.75,weathered_rock
16,211.5,29.98,fill
16,211.5,26.23,silty_clay
16,211.5,20.57,silt
16,211.5,8.71,fine_sand
16,211.5,-3.45,weathered_rock
39,122.5,31.94,fill
39,122.5,30.46,silty_clay
39,122.5,19.32,silt
39,122.5,10.66,fine_sand
39,122.5,-7.22,weathered_rock
44,166.4,31.25,fill
44,166.4,27.17,silty_clay
44,166.4,17.41,silt
44,166.4,5.92,fine_sand
44,166.4,-3.87,weathered_rock 
