X,Y,Z,surface,description
25.0,25.0,28.5,surface_1,表层素填土
25.0,25.0,22.1,surface_2,粘土层
25.0,25.0,15.6,surface_3,砂质粉土层
25.0,25.0,9.2,surface_4,中砂层
25.0,25.0,3.5,surface_5,强风化花岗岩
75.0,25.0,29.3,surface_1,表层素填土
75.0,25.0,23.0,surface_2,粘土层
75.0,25.0,16.4,surface_3,砂质粉土层
75.0,25.0,10.0,surface_4,中砂层
75.0,25.0,4.3,surface_5,强风化花岗岩
125.0,25.0,27.8,surface_1,表层素填土
125.0,25.0,21.4,surface_2,粘土层
125.0,25.0,14.7,surface_3,砂质粉土层
125.0,25.0,8.3,surface_4,中砂层
125.0,25.0,2.6,surface_5,强风化花岗岩
175.0,25.0,30.2,surface_1,表层素填土
175.0,25.0,24.8,surface_2,粘土层
175.0,25.0,18.1,surface_3,砂质粉土层
175.0,25.0,11.7,surface_4,中砂层
175.0,25.0,6.0,surface_5,强风化花岗岩
225.0,25.0,28.9,surface_1,表层素填土
225.0,25.0,22.5,surface_2,粘土层
225.0,25.0,15.8,surface_3,砂质粉土层
225.0,25.0,9.4,surface_4,中砂层
225.0,25.0,3.7,surface_5,强风化花岗岩
275.0,25.0,31.5,surface_1,表层素填土
275.0,25.0,25.1,surface_2,粘土层
275.0,25.0,18.4,surface_3,砂质粉土层
275.0,25.0,12.0,surface_4,中砂层
275.0,25.0,6.3,surface_5,强风化花岗岩
325.0,25.0,29.3,surface_1,表层素填土
325.0,25.0,22.9,surface_2,粘土层
325.0,25.0,16.2,surface_3,砂质粉土层
325.0,25.0,9.8,surface_4,中砂层
325.0,25.0,4.1,surface_5,强风化花岗岩
375.0,25.0,32.1,surface_1,表层素填土
375.0,25.0,25.7,surface_2,粘土层
375.0,25.0,19.0,surface_3,砂质粉土层
375.0,25.0,12.6,surface_4,中砂层
375.0,25.0,6.9,surface_5,强风化花岗岩
425.0,25.0,30.8,surface_1,表层素填土
425.0,25.0,23.4,surface_2,粘土层
425.0,25.0,16.7,surface_3,砂质粉土层
425.0,25.0,10.3,surface_4,中砂层
425.0,25.0,4.6,surface_5,强风化花岗岩
475.0,25.0,33.4,surface_1,表层素填土
475.0,25.0,26.0,surface_2,粘土层
475.0,25.0,19.3,surface_3,砂质粉土层
475.0,25.0,12.9,surface_4,中砂层
475.0,25.0,7.2,surface_5,强风化花岗岩
25.0,125.0,31.2,surface_1,表层素填土
25.0,125.0,23.8,surface_2,粘土层
25.0,125.0,17.1,surface_3,砂质粉土层
25.0,125.0,10.7,surface_4,中砂层
25.0,125.0,5.0,surface_5,强风化花岗岩
75.0,125.0,34.6,surface_1,表层素填土
75.0,125.0,26.2,surface_2,粘土层
75.0,125.0,19.5,surface_3,砂质粉土层
75.0,125.0,13.1,surface_4,中砂层
75.0,125.0,7.4,surface_5,强风化花岗岩
125.0,125.0,32.5,surface_1,表层素填土
125.0,125.0,24.1,surface_2,粘土层
125.0,125.0,17.4,surface_3,砂质粉土层
125.0,125.0,11.0,surface_4,中砂层
125.0,125.0,5.3,surface_5,强风化花岗岩
175.0,125.0,35.9,surface_1,表层素填土
175.0,125.0,26.5,surface_2,粘土层
175.0,125.0,19.8,surface_3,砂质粉土层
175.0,125.0,13.4,surface_4,中砂层
175.0,125.0,7.7,surface_5,强风化花岗岩
225.0,125.0,33.7,surface_1,表层素填土
225.0,125.0,24.3,surface_2,粘土层
225.0,125.0,17.6,surface_3,砂质粉土层
225.0,125.0,11.2,surface_4,中砂层
225.0,125.0,5.5,surface_5,强风化花岗岩
275.0,125.0,36.8,surface_1,表层素填土
275.0,125.0,26.4,surface_2,粘土层
275.0,125.0,19.7,surface_3,砂质粉土层
275.0,125.0,13.3,surface_4,中砂层
275.0,125.0,7.6,surface_5,强风化花岗岩
325.0,125.0,34.3,surface_1,表层素填土
325.0,125.0,24.9,surface_2,粘土层
325.0,125.0,18.2,surface_3,砂质粉土层
325.0,125.0,11.8,surface_4,中砂层
325.0,125.0,6.1,surface_5,强风化花岗岩
375.0,125.0,37.5,surface_1,表层素填土
375.0,125.0,27.1,surface_2,粘土层
375.0,125.0,20.4,surface_3,砂质粉土层
375.0,125.0,14.0,surface_4,中砂层
375.0,125.0,8.3,surface_5,强风化花岗岩
425.0,125.0,35.1,surface_1,表层素填土
425.0,125.0,24.7,surface_2,粘土层
425.0,125.0,18.0,surface_3,砂质粉土层
425.0,125.0,11.6,surface_4,中砂层
425.0,125.0,5.9,surface_5,强风化花岗岩
475.0,125.0,38.2,surface_1,表层素填土
475.0,125.0,27.8,surface_2,粘土层
475.0,125.0,21.1,surface_3,砂质粉土层
475.0,125.0,14.7,surface_4,中砂层
475.0,125.0,9.0,surface_5,强风化花岗岩
25.0,225.0,29.8,surface_1,表层素填土
25.0,225.0,23.4,surface_2,粘土层
25.0,225.0,16.7,surface_3,砂质粉土层
25.0,225.0,10.3,surface_4,中砂层
25.0,225.0,4.6,surface_5,强风化花岗岩
75.0,225.0,32.6,surface_1,表层素填土
75.0,225.0,26.2,surface_2,粘土层
75.0,225.0,19.5,surface_3,砂质粉土层
75.0,225.0,13.1,surface_4,中砂层
75.0,225.0,7.4,surface_5,强风化花岗岩
125.0,225.0,30.1,surface_1,表层素填土
125.0,225.0,23.7,surface_2,粘土层
125.0,225.0,17.0,surface_3,砂质粉土层
125.0,225.0,10.6,surface_4,中砂层
125.0,225.0,4.9,surface_5,强风化花岗岩
175.0,225.0,33.9,surface_1,表层素填土
175.0,225.0,27.5,surface_2,粘土层
175.0,225.0,20.8,surface_3,砂质粉土层
175.0,225.0,14.4,surface_4,中砂层
175.0,225.0,8.7,surface_5,强风化花岗岩
225.0,225.0,31.7,surface_1,表层素填土
225.0,225.0,25.3,surface_2,粘土层
225.0,225.0,18.6,surface_3,砂质粉土层
225.0,225.0,12.2,surface_4,中砂层
