X,Y,Z,surface
826.12,318.59,0.0,填土
826.12,318.59,-7.45,填土_bottom
791.35,644.43,-2.55,填土
791.35,644.43,-4.81,填土_bottom
192.0,411.69,0.83,填土
192.0,411.69,-4.3,填土_bottom
668.54,663.84,0.0,填土
668.54,663.84,-6.13,填土_bottom
673.5,544.85,0.0,填土
673.5,544.85,-4.17,填土_bottom
552.46,906.28,-10.94,填土
552.46,906.28,-17.13,填土_bottom
339.13,796.41,0.0,填土
339.13,796.41,-8.23,填土_bottom
939.17,627.32,-10.32,填土
939.17,627.32,-12.62,填土_bottom
213.86,339.72,0.0,填土
213.86,339.72,-3.59,填土_bottom
125.85,93.44,-8.67,填土
125.85,93.44,-18.91,填土_bottom
321.05,339.01,-5.24,填土
321.05,339.01,-17.59,填土_bottom
460.82,795.79,-2.99,填土
460.82,795.79,-9.68,填土_bottom
975.16,510.66,-1.34,填土
975.16,510.66,-4.29,填土_bottom
545.45,222.31,-5.98,填土
545.45,222.31,-10.86,填土_bottom
558.04,923.46,-5.88,填土
558.04,923.46,-11.57,填土_bottom
107.56,549.49,-6.58,填土
107.56,549.49,-13.02,填土_bottom
691.93,99.17,0.0,填土
691.93,99.17,-5.11,填土_bottom
480.73,415.63,-3.42,填土
480.73,415.63,-8.43,填土_bottom
205.92,536.48,-3.31,填土
205.92,536.48,-10.08,填土_bottom
435.93,888.48,-3.99,填土
435.93,888.48,-9.81,填土_bottom
788.17,900.75,-9.63,填土
788.17,900.75,-16.96,填土_bottom
727.69,508.37,0.0,填土
727.69,508.37,-7.8,填土_bottom
435.76,335.28,-8.71,填土
435.76,335.28,-13.65,填土_bottom
661.25,333.08,-4.59,填土
661.25,333.08,-9.21,填土_bottom
115.86,385.43,0.0,填土
115.86,385.43,-6.6,填土_bottom
826.12,318.59,-7.36,粘土
826.12,318.59,-15.7,粘土_bottom
791.35,644.43,-9.8,粘土
791.35,644.43,-19.76,粘土_bottom
192.0,411.69,-5.16,粘土
192.0,411.69,-16.78,粘土_bottom
668.54,663.84,-4.31,粘土
668.54,663.84,-12.5,粘土_bottom
673.5,544.85,-4.2,粘土
673.5,544.85,-12.69,粘土_bottom
552.46,906.28,-11.51,粘土
552.46,906.28,-21.97,粘土_bottom
339.13,796.41,-3.65,粘土
339.13,796.41,-20.35,粘土_bottom
939.17,627.32,-14.6,粘土
939.17,627.32,-22.41,粘土_bottom
213.86,339.72,-5.38,粘土
213.86,339.72,-15.68,粘土_bottom
125.85,93.44,-13.85,粘土
125.85,93.44,-31.48,粘土_bottom
321.05,339.01,-9.57,粘土
321.05,339.01,-30.91,粘土_bottom
460.82,795.79,-8.07,粘土
460.82,795.79,-18.35,粘土_bottom
975.16,510.66,-12.3,粘土
975.16,510.66,-24.94,粘土_bottom
545.45,222.31,-11.75,粘土
545.45,222.31,-22.51,粘土_bottom
558.04,923.46,-10.36,粘土
558.04,923.46,-23.37,粘土_bottom
107.56,549.49,-13.44,粘土
107.56,549.49,-24.25,粘土_bottom
691.93,99.17,-5.01,粘土
691.93,99.17,-16.34,粘土_bottom
480.73,415.63,-4.65,粘土
480.73,415.63,-15.63,粘土_bottom
205.92,536.48,-11.31,粘土
205.92,536.48,-24.99,粘土_bottom
435.93,888.48,-8.38,粘土
435.93,888.48,-21.1,粘土_bottom
788.17,900.75,-19.42,粘土
788.17,900.75,-40.11,粘土_bottom
727.69,508.37,-4.95,粘土
727.69,508.37,-15.7,粘土_bottom
435.76,335.28,-6.31,粘土
435.76,335.28,-18.56,粘土_bottom
661.25,333.08,-10.92,粘土
661.25,333.08,-22.18,粘土_bottom
115.86,385.43,-6.45,粘土
115.86,385.43,-22.51,粘土_bottom
826.12,318.59,-17.88,粉质粘土
826.12,318.59,-26.86,粉质粘土_bottom
791.35,644.43,-18.38,粉质粘土
791.35,644.43,-30.62,粉质粘土_bottom
192.0,411.69,-22.64,粉质粘土
192.0,411.69,-28.53,粉质粘土_bottom
668.54,663.84,-14.23,粉质粘土
668.54,663.84,-23.91,粉质粘土_bottom
673.5,544.85,-13.87,粉质粘土
673.5,544.85,-19.74,粉质粘土_bottom
552.46,906.28,-22.63,粉质粘土
552.46,906.28,-34.22,粉质粘土_bottom
339.13,796.41,-12.05,粉质粘土
339.13,796.41,-25.67,粉质粘土_bottom
939.17,627.32,-25.41,粉质粘土
939.17,627.32,-31.57,粉质粘土_bottom
213.86,339.72,-17.77,粉质粘土
213.86,339.72,-22.67,粉质粘土_bottom
125.85,93.44,-23.44,粉质粘土
125.85,93.44,-38.58,粉质粘土_bottom
321.05,339.01,-19.52,粉质粘土
321.05,339.01,-33.89,粉质粘土_bottom
460.82,795.79,-20.76,粉质粘土
460.82,795.79,-27.61,粉质粘土_bottom
975.16,510.66,-18.55,粉质粘土
975.16,510.66,-26.22,粉质粘土_bottom
545.45,222.31,-24.75,粉质粘土
545.45,222.31,-38.22,粉质粘土_bottom
558.04,923.46,-25.1,粉质粘土
558.04,923.46,-35.38,粉质粘土_bottom
107.56,549.49,-19.28,粉质粘土
107.56,549.49,-26.32,粉质粘土_bottom
691.93,99.17,-16.54,粉质粘土
691.93,99.17,-26.13,粉质粘土_bottom
480.73,415.63,-15.81,粉质粘土
480.73,415.63,-20.5,粉质粘土_bottom
205.92,536.48,-18.72,粉质粘土
205.92,536.48,-28.48,粉质粘土_bottom
435.93,888.48,-22.45,粉质粘土
435.93,888.48,-32.11,粉质粘土_bottom
788.17,900.75,-25.39,粉质粘土
788.17,900.75,-42.88,粉质粘土_bottom
727.69,508.37,-16.32,粉质粘土
727.69,508.37,-21.75,粉质粘土_bottom
435.76,335.28,-20.83,粉质粘土
435.76,335.28,-30.19,粉质粘土_bottom
661.25,333.08,-23.61,粉质粘土
661.25,333.08,-35.56,粉质粘土_bottom
115.86,385.43,-21.29,粉质粘土
115.86,385.43,-31.36,粉质粘土_bottom
826.12,318.59,-23.66,细砂
826.12,318.59,-34.98,细砂_bottom
791.35,644.43,-27.85,细砂
791.35,644.43,-41.75,细砂_bottom
192.0,411.69,-29.09,细砂
192.0,411.69,-38.96,细砂_bottom
668.54,663.84,-21.55,细砂
668.54,663.84,-31.48,细砂_bottom
673.5,544.85,-21.02,细砂
673.5,544.85,-29.93,细砂_bottom
552.46,906.28,-31.83,细砂
552.46,906.28,-44.31,细砂_bottom
339.13,796.41,-18.26,细砂
339.13,796.41,-35.53,细砂_bottom
939.17,627.32,-40.75,细砂
939.17,627.32,-53.03,细砂_bottom
213.86,339.72,-26.92,细砂
213.86,339.72,-37.79,细砂_bottom
125.85,93.44,-40.65,细砂
125.85,93.44,-67.15,细砂_bottom
321.05,339.01,-32.12,细砂
321.05,339.01,-59.21,细砂_bottom
460.82,795.79,-23.41,细砂
460.82,795.79,-35.97,细砂_bottom
975.16,510.66,-29.01,细砂
975.16,510.66,-42.52,细砂_bottom
545.45,222.31,-29.14,细砂
545.45,222.31,-51.2,细砂_bottom
558.04,923.46,-33.79,细砂
558.04,923.46,-44.47,细砂_bottom
107.56,549.49,-27.19,细砂
107.56,549.49,-37.91,细砂_bottom
691.93,99.17,-25.07,细砂
691.93,99.17,-44.48,细砂_bottom
