borehole_id,x,y,z_top,z_bottom,formation_id,formation_name,thickness,density,in_fault_zone,in_fold_zone,fault_displacement,layer_repeat,color,enhanced_color
ZK001,387.0861069626262,905.6428757689246,0.27432527053685096,-2.113652480042507,1,填土,2.387977750579358,1.6293072473298682,False,False,0.0,1,#8B4513,#8B4513
ZK001,387.0861069626262,905.6428757689246,4.795823835099963,-1.4897327616367548,2,粘土,6.2855565967367175,1.6473832920911788,False,False,0.0,1,#FF0000,#FF0000
ZK001,387.0861069626262,905.6428757689246,10.372159529325755,2.660852119255289,3,粉质粘土,7.711307410070466,1.502531832977268,False,False,0.0,1,#FF8C00,#FF8C00
ZK001,387.0861069626262,905.6428757689246,19.085508909769793,0.5436281929287576,4,细砂,18.541880716841035,1.517931768164829,False,False,0.0,1,#FFD700,#FFD700
ZK001,387.0861069626262,905.6428757689246,37.38157497453992,24.49144658680696,5,中砂,12.890128387732965,1.6822060159994492,False,False,0.0,1,#32CD32,#32CD32
ZK001,387.0861069626262,905.6428757689246,50.11353431933352,37.56123116096404,6,粗砂,12.552303158369476,1.524626383564251,False,False,0.0,1,#00CED1,#00CED1
ZK001,387.0861069626262,905.6428757689246,62.59541530874043,53.79766725539231,7,砾砂,8.797748053348116,1.5922898290585896,False,False,0.0,1,#1E90FF,#1E90FF
ZK001,387.0861069626262,905.6428757689246,72.98566444638399,53.14344378237413,8,卵石层,19.842220664009865,1.6827183249036024,False,False,0.0,1,#9932CC,#9932CC
ZK001,387.0861069626262,905.6428757689246,94.50472838822117,69.40721419913686,9,强风化岩,25.097514189084308,1.5735343166762046,False,False,0.0,1,#DC143C,#DC143C
ZK001,387.0861069626262,905.6428757689246,119.27437584791316,64.79285334860658,10,中风化岩,54.48152249930658,1.5142842443583717,False,False,0.0,1,#708090,#708090
ZK001,387.0861069626262,905.6428757689246,174.1127034146979,150.35707464433958,11,微风化岩,23.755628770358328,1.577653721467415,False,False,0.0,1,#2F4F4F,#2F4F4F
ZK001,387.0861069626262,905.6428757689246,198.3590973943866,137.6490899830052,12,基岩,60.71000741138138,1.5927171087343128,False,False,0.0,1,#000000,#000000
ZK002,708.7945476302646,588.792635777333,-2.5548663045691207,-4.792751958307557,1,填土,2.237885653738436,1.555348504793298,False,False,0.0,1,#8B4513,#8B4513
ZK002,708.7945476302646,588.792635777333,1.9119603179853837,-8.14339678839095,2,粘土,10.055357106376334,1.4754261221288012,False,False,0.0,1,#FF0000,#FF0000
ZK002,708.7945476302646,588.792635777333,12.638541059960351,0.015089726896096167,3,粉质粘土,12.623451333064255,1.511614256379887,False,False,0.0,1,#FF8C00,#FF8C00
ZK002,708.7945476302646,588.792635777333,25.43488373174177,9.743120754986895,4,细砂,15.691762976754875,1.4857029702169378,False,False,0.0,1,#FFD700,#FFD700
ZK002,708.7945476302646,588.792635777333,42.12922251641888,31.055860435374026,5,中砂,11.073362081044852,1.7083051243175278,False,False,0.0,1,#32CD32,#32CD32
ZK002,708.7945476302646,588.792635777333,51.7641307031384,41.23500577825463,6,粗砂,10.529124924883767,1.5062174960084878,False,False,0.0,1,#00CED1,#00CED1
ZK002,708.7945476302646,588.792635777333,64.68471094689147,50.8305839849403,7,砾砂,13.854126961951174,1.6515047686306048,False,False,0.0,1,#1E90FF,#1E90FF
ZK002,708.7945476302646,588.792635777333,79.0959424686236,40.29119241908812,8,卵石层,38.804750049535485,1.71355656401806,False,False,0.0,1,#9932CC,#9932CC
ZK002,708.7945476302646,588.792635777333,118.48119325877173,86.32618003257271,9,强风化岩,32.15501322619902,1.5684730755359655,False,False,0.0,1,#DC143C,#DC143C
ZK002,708.7945476302646,588.792635777333,149.71199001912737,112.88126703468795,10,中风化岩,36.83072298443942,1.5763181393259993,False,False,0.0,1,#708090,#708090
ZK002,708.7945476302646,588.792635777333,187.89741235749065,157.99372960969623,11,微风化岩,29.90368274779442,1.831465856667351,False,False,0.0,1,#2F4F4F,#2F4F4F
ZK002,708.7945476302646,588.792635777333,218.90548115627328,196.9144590451495,12,基岩,21.991022111123783,1.438728412881035,False,False,0.0,1,#000000,#000000
